domain,outcome,http_status,protocol_version,capabilities,catalogue_searchable,blockers,top_blocker
ollies.com,checked,200,2026-08-25,9,yes,0,
scalperscompany.com,checked,200,2026-08-25,8,yes,0,
amazfit.com,checked,200,2026-08-25,9,yes,0,
westwing.de,checked,200,2026-08-25,8,yes,0,
ackermans.co.za,checked,200,2026-08-25,8,yes,0,
terranovastyle.com,checked,200,2026-08-25,9,yes,0,
lucyandyak.com,checked,200,2026-08-25,8,yes,0,
viceroy.es,checked,200,2026-08-25,9,yes,0,
ankerjapan.com,checked,200,2026-08-25,8,yes,0,
langehair.com,checked,200,2026-08-25,8,yes,0,
smartwool.com,checked,200,2026-08-25,8,yes,0,
rarewaves.com,checked,200,2026-08-25,9,yes,0,
jbhifi.co.nz,checked,200,2026-08-25,8,yes,0,
theloadedteashop.com,checked,200,2026-08-25,8,yes,0,
facetofacegames.com,checked,200,2026-08-25,9,yes,0,
keslighting.co.uk,checked,200,2026-08-25,8,yes,0,
32degrees.com,checked,200,2026-08-25,8,yes,0,
penningtons.com,checked,200,2026-08-25,8,yes,0,
rasik.style,checked,200,2026-08-25,8,yes,0,
omaze.co.uk,checked,200,2026-08-25,8,yes,0,
dusk.com,checked,200,2026-08-25,8,yes,0,
tjc.co.uk,checked,200,2026-08-25,9,yes,0,
shoplc.com,checked,200,2026-08-25,9,yes,0,
honeywellhome.com,checked,200,2026-08-25,8,yes,0,
extremerestraints.com,checked,200,2026-08-25,8,yes,0,
tomfordbeauty.com,checked,200,2026-08-25,8,yes,0,
luamaya.com,checked,200,2026-08-25,9,yes,0,
hyperx.com,checked,200,2026-08-25,8,yes,0,
gardeners.com,checked,200,2026-08-25,9,yes,0,
threebirdnest.com,checked,200,2026-08-25,8,yes,0,
edikted.co.uk,checked,200,2026-08-25,8,yes,0,
vograce.com,checked,200,2026-08-25,8,yes,0,
sphero.com,checked,200,2026-08-25,8,yes,0,
allbirds.com,checked,200,2026-08-25,8,yes,0,
teddybaldassarre.com,checked,200,2026-08-25,9,yes,0,
stadiumgoods.com,checked,200,2026-08-25,9,yes,0,
newera.mx,checked,200,2026-08-25,8,yes,0,
holy.com,checked,200,2026-08-25,8,yes,0,
nalli.com,checked,200,2026-08-25,9,yes,0,
oxknit.com,checked,200,2026-08-25,9,yes,0,
atlanticbooks.com,checked,200,2026-08-25,9,yes,0,
gianttiger.com,checked,200,2026-08-25,8,yes,0,
gruntstyle.com,checked,200,2026-08-25,9,yes,0,
monowella.com,checked,200,2026-08-25,8,yes,0,
revibe.me,checked,200,2026-08-25,9,yes,0,
homecenter.co.il,checked,200,2026-08-25,8,yes,0,
misako.com,checked,200,2026-08-25,8,yes,0,
coldcultureworldwide.com,checked,200,2026-08-25,9,yes,0,
traya.health,checked,200,2026-08-25,8,yes,0,
sergent-major.com,checked,200,2026-08-25,9,yes,0,
plug.tech,checked,200,2026-08-25,8,yes,0,
rothys.com,checked,200,2026-08-25,8,yes,0,
nobltravel.com,checked,200,2026-08-25,8,yes,0,
havaianas.com.br,checked,200,2026-08-25,8,yes,0,
detroitaxle.com,checked,200,2026-08-25,9,yes,0,
